,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,5160,0,2,0,0.0,0,0,0,0,45,True,0,2,4
1,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2022-08-15T19:00:00Z,0,12,0,0,0,0,2,0,5723,0,1,1,0.0,0,-291,413,704,45,False,0,2,4
2,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,2,0,0,0,0,3,0,5959,0,1,3,0.0,0,-154,738,892,45,True,0,2,2
3,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,13,0,0,0,0,4,0,5464,0,2,4,0.0,0,-711,189,900,45,False,0,2,5
4,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,4,0,0,0,0,5,0,5492,0,1,1,0.0,0,-203,361,564,44,True,0,2,3
5,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,15,0,0,0,0,6,0,6120,0,0,0,0.0,0,219,898,679,44,False,0,2,4
6,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,6,0,0,0,0,9,0,5854,0,2,1,0.0,0,-90,248,338,44,True,0,2,3
7,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,11,0,0,0,0,10,0,5627,0,1,2,0.0,0,-287,149,436,44,True,0,2,2
8,0,0,4,0,2.0,164,0.01,0.01,0.0,0.57,105,0,0,1.0,7.8,2022-10-15T11:30:00Z,34,10,0,0,0,0,11,0,5533,0,0,0,0.0,1,-151,114,265,44,False,0,2,3
9,0,0,3,0,0.0,164,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2022-10-18T19:15:00Z,1,20,0,0,0,0,12,0,5465,0,1,2,0.0,1,-90,111,201,44,True,0,2,2
10,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,8,0,0,0,0,13,0,5476,0,0,3,0.0,0,-35,160,195,44,False,0,2,2
11,0,0,3,0,0.0,164,0.0,0.0,0.0,0.04,135,0,0,0.0,0.0,2022-10-29T14:00:00Z,4,17,0,0,0,0,14,0,5317,0,0,1,0.0,1,-198,71,269,44,True,0,2,2
12,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2022-11-06T14:00:00Z,0,19,0,0,0,0,15,0,5493,0,2,1,0.0,0,76,360,284,43,False,0,2,3
13,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,16,0,0,0,0,16,0,5563,0,0,1,0.0,0,19,292,273,43,False,0,2,2
14,0,0,4,0,0.0,164,0.0,0.0,0.0,0.28,165,0,0,0.2,2.0,2022-12-26T15:00:00Z,7,9,0,0,0,0,17,0,5354,0,3,0,0.0,1,-271,312,583,43,True,0,2,2
15,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,3,0,0,0,0,18,0,5473,0,2,0,0.0,0,67,234,167,43,False,0,2,2
16,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,18,0,0,0,0,19,0,5367,0,4,0,0.0,0,-104,42,146,43,True,0,2,3
