Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,9,0,1.5,423,2,1,0,1.3,9.6,2019-08-10T14:00:00Z,81,3,0,0,0,0,1,0,8809,1,1,2.0,2,0,0,0,45,False,0,3,2,,,,,
1,0,0,25,1,10.8,423,18,0,0,4.4,27.6,2019-08-18T13:00:00Z,90,7,0,0,0,0,2,0,9695,0,1,6.0,6,-340,325,665,45,True,0,3,3,,,,,
2,0,0,7,0,1.7,423,27,2,0,1.4,8.0,2019-08-24T14:00:00Z,77,9,0,0,0,0,3,0,13712,2,1,4.0,1,2263,3376,1113,45,True,0,3,3,,,,,
3,0,0,17,0,11.3,423,33,2,0,3.2,17.6,2019-08-31T14:00:00Z,83,6,0,0,0,0,4,0,13207,2,2,3.0,1,-703,491,1194,45,False,0,3,4,,,,,
4,0,0,5,0,1.1,423,47,1,0,2.8,18.8,2019-09-14T14:00:00Z,83,16,0,0,0,0,5,0,13300,1,0,8.0,2,-344,620,964,45,True,0,3,3,,,,,
5,0,0,20,1,1.0,423,55,0,0,2.4,18.8,2019-09-21T14:00:00Z,90,8,0,0,0,0,6,0,13114,2,0,4.0,6,-354,205,559,45,False,0,3,4,,,,,
6,0,0,11,0,1.2,423,68,1,0,1.4,12.8,2019-09-28T11:30:00Z,90,10,0,0,0,0,7,0,13116,1,0,0.0,2,-242,351,593,45,True,0,3,4,,,,,
7,0,0,20,1,3.2,423,79,0,0,2.3,13.4,2019-10-05T14:00:00Z,90,18,0,0,0,0,8,0,13731,0,0,6.0,6,277,718,441,45,False,0,3,3,,,,,
8,0,1,25,1,0.7,423,88,0,0,2.8,26.8,2019-10-21T19:00:00Z,90,1,0,0,0,0,9,0,14210,0,1,0.0,7,297,764,467,45,True,0,3,3,,,,,
9,0,0,15,0,0.6,423,100,1,0,2.4,23.0,2019-10-26T14:00:00Z,90,19,0,0,0,0,10,0,15996,1,1,0.0,2,1462,1840,378,45,False,0,3,2,,,,,
10,0,0,17,1,1.3,423,108,0,0,0.7,3.4,2019-11-02T15:00:00Z,90,5,0,0,0,0,11,0,18287,0,3,2.0,5,1927,2530,603,45,True,1,3,3,,,,,
11,0,0,11,0,1.7,423,119,1,0,1.7,15.2,2019-11-09T15:00:00Z,90,17,0,0,0,0,12,0,19761,1,1,0.0,1,1176,1919,743,45,False,1,3,4,,,,,
12,0,0,16,0,1.5,423,128,3,0,3.2,28.2,2019-11-24T16:30:00Z,82,12,0,0,0,0,13,0,24742,3,3,2.0,1,4217,5366,1149,45,True,0,3,4,,,,,
13,0,0,18,0,1.1,423,140,1,0,3.7,33.8,2019-12-01T14:00:00Z,90,20,0,0,0,0,14,0,33318,1,1,2.0,2,8024,9564,1540,45,False,0,3,3,,,,,
14,0,0,19,0,18.5,423,145,2,0,4.1,16.2,2019-12-05T19:30:00Z,74,13,0,0,0,0,15,0,35582,2,0,6.0,1,2476,3646,1170,45,True,0,3,2,,,,,
15,0,0,9,0,0.8,423,157,1,0,1.7,14.2,2019-12-08T14:00:00Z,90,14,0,0,0,0,16,0,36351,2,1,2.0,1,626,2379,1753,45,False,1,3,2,,,,,
16,0,1,28,1,4.1,423,168,0,0,1.3,9.0,2019-12-14T15:00:00Z,90,2,0,0,0,0,17,0,37837,0,2,0.0,7,1097,3399,2302,45,True,0,3,2,,,,,
17,0,0,20,1,0.6,423,173,0,0,1.8,17.2,2019-12-21T15:00:00Z,90,4,0,0,0,0,18,0,46796,1,0,0.0,5,7394,8658,1264,45,False,1,3,2,,,,,
18,0,0,9,0,16.0,423,188,1,0,3.9,17.0,2019-12-26T15:00:00Z,90,18,0,0,0,0,19,0,50186,1,1,6.0,2,4162,5446,1284,45,True,0,3,2,,,,,
19,0,0,15,0,1.5,423,195,2,0,2.6,22.4,2019-12-29T18:00:00Z,90,11,0,0,0,0,20,0,49829,0,2,2.0,1,-296,2810,3106,45,False,0,3,4,,,,,
20,0,0,15,0,0.0,423,204,2,0,2.6,26.2,2020-01-02T20:00:00Z,90,10,0,0,0,0,21,0,50765,0,2,0.0,1,588,4915,4327,45,False,0,3,5,,,,,
21,0,0,23,1,1.3,423,218,0,0,1.5,13.4,2020-01-10T20:00:00Z,90,19,0,0,0,0,22,0,53336,0,1,0.0,6,2026,5668,3642,45,True,0,3,2,,,,,
22,0,0,12,0,1.3,423,221,1,0,2.0,12.8,2020-01-18T15:00:00Z,75,1,0,0,0,0,23,0,56607,1,1,6.0,2,2877,6056,3179,45,False,0,3,4,,,,,
23,0,0,3,0,11.1,423,236,1,0,2.2,1.2,2020-01-21T19:30:00Z,77,11,0,0,0,0,24,0,55883,1,0,10.0,2,-451,2946,3397,45,True,0,3,4,,,,,
24,0,1,23,1,0.9,423,243,0,0,2.7,26.4,2020-02-01T15:00:00Z,90,7,0,0,0,0,25,0,59138,1,0,0.0,7,2447,5884,3437,45,False,0,3,3,,,,,
25,0,0,18,0,27.3,423,258,1,0,5.6,22.6,2020-02-09T14:00:00Z,90,3,0,0,0,0,26,0,78002,1,2,6.0,2,17966,20432,2466,45,True,0,3,2,,,,,
26,0,0,18,0,14.8,423,268,1,0,3.3,15.8,2020-02-22T15:00:00Z,90,4,0,0,0,0,27,0,94331,1,1,2.0,2,15953,20367,4414,45,True,0,3,2,,,,,
27,0,1,29,1,6.6,423,288,0,0,4.7,28.0,2020-03-07T15:00:00Z,90,14,0,0,0,0,29,0,104408,0,1,12.0,7,9902,14931,5029,45,True,0,3,2,,,,,
28,0,0,26,1,2.8,423,271,0,0,2.9,26.0,2020-06-17T17:00:00Z,90,2,0,0,0,0,39,0,144901,0,0,0.0,6,33735,66165,32430,46,False,0,3,2,,,,,
29,0,0,16,0,17.0,423,296,3,0,4.4,25.2,2020-06-21T13:00:00Z,90,13,0,0,0,0,39,0,144901,0,3,2.0,1,33735,66165,32430,46,False,0,3,2,,,,,
30,0,0,13,0,1.1,423,305,3,0,1.1,10.2,2020-06-24T17:00:00Z,90,12,0,0,0,0,40,0,135512,0,3,0.0,1,-5321,12375,17696,46,False,0,3,4,,,,,
31,1,0,22,0,11.1,423,318,1,0,4.5,31.8,2020-07-02T17:00:00Z,90,17,0,0,0,0,41,0,132389,1,3,2.0,5,-4750,3858,8608,46,True,0,3,3,,,,,
32,0,0,11,0,2.4,423,321,1,0,1.7,14.4,2020-07-05T11:00:00Z,74,5,0,0,0,0,42,0,158926,1,1,0.0,2,23573,29921,6348,46,False,0,3,3,,,,,
33,0,2,30,1,3.6,423,338,0,0,2.4,18.0,2020-07-08T17:00:00Z,90,20,0,0,0,0,43,0,162621,0,1,2.0,8,5109,11415,6306,46,True,0,3,4,,,,,
34,0,0,22,1,2.0,423,347,0,0,1.9,15.2,2020-07-11T16:30:00Z,67,6,0,0,0,0,44,0,163498,0,3,2.0,6,1496,6620,5124,46,True,0,3,4,,,,,
