Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,player
0,0,0,0.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,12,0,0,0,0,1,0,14856,0,2,2,0.0,0,0,0,0,45,True,0,2,4,1,2022-23,Kevin_Mbabu
1,1,1,1.0,0,0,3,0,0.0,532,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2022-08-13T14:00:00Z,1,20,0,0,0,0,2,0,17086,0,0,0,0.0,1,-1472,1055,2527,45,False,0,2,2,2,2022-23,Kevin_Mbabu
2,2,2,2.0,1,0,18,0,32.3,532,0.38,0.38,0.0,0.0,24,0,0,5.7,25.0,2022-08-20T14:00:00Z,13,4,0,0,0,0,3,0,16957,0,2,3,0.0,3,-1575,781,2356,45,True,1,2,3,3,2022-23,Kevin_Mbabu
3,3,3,3.0,0,0,4,0,0.3,532,0.02,0.02,0.0,1.27,31,1,0,0.3,2.2,2022-08-27T16:30:00Z,11,1,0,0,0,0,4,0,18995,0,1,2,0.0,1,-4,1884,1888,45,False,0,2,4,4,2022-23,Kevin_Mbabu
4,4,4,4.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,5,0,0,0,0,5,0,19121,0,1,2,0.0,0,-890,1022,1912,45,True,0,2,3,5,2022-23,Kevin_Mbabu
5,5,5,5.0,0,0,10,0,4.7,532,0.01,0.01,0.0,2.66,59,2,0,1.4,9.0,2022-09-03T14:00:00Z,61,18,0,0,0,0,6,0,18804,0,1,2,0.0,1,-1337,998,2335,45,False,0,2,4,6,2022-23,Kevin_Mbabu
6,6,6,6.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,16,0,0,0,0,8,0,19660,0,3,2,0.0,0,175,713,538,44,False,0,2,2,8,2022-23,Kevin_Mbabu
7,7,7,7.0,0,0,1,0,0.1,532,0.0,0.0,0.0,2.29,84,3,0,0.3,3.0,2022-10-01T14:00:00Z,45,15,0,0,0,0,9,0,18726,1,4,1,0.0,0,-773,409,1182,44,True,0,2,3,9,2022-23,Kevin_Mbabu
8,8,8,8.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,19,0,0,0,0,10,0,18579,0,1,3,0.0,0,-343,598,941,44,False,0,2,3,10,2022-23,Kevin_Mbabu
9,9,9,9.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,3,0,0,0,0,11,0,18523,0,2,2,0.0,0,-216,552,768,44,True,0,2,2,11,2022-23,Kevin_Mbabu
10,10,10,10.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2022-10-20T18:30:00Z,0,2,0,0,0,0,12,0,18110,0,0,3,0.0,0,-383,246,629,44,True,0,2,2,12,2022-23,Kevin_Mbabu
11,11,11,11.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,124,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,11,0,0,0,0,13,0,17964,0,3,2,0.0,0,-361,190,551,44,False,0,2,2,13,2022-23,Kevin_Mbabu
12,12,12,12.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2022-10-29T16:30:00Z,0,8,0,0,0,0,14,0,17624,0,0,0,0.0,0,-436,258,694,44,True,0,2,2,14,2022-23,Kevin_Mbabu
