Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,0,0,0,0.0,511,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,4284,2,0,0.0,0,0,0,0,45,True,0,2,2,1,2020-21,,,,,,Max_Lowe
1,1,1,1.0,0,0,0,0,0.0,511,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,2,0,0,0,0,2,0,5084,0,1,0.0,0,-446,211,657,45,False,0,2,3,2,2020-21,,,,,,Max_Lowe
2,2,2,2.0,0,0,0,0,0.0,511,25,0,0,0.0,0.0,2020-09-27T11:00:00Z,0,10,0,0,0,0,3,0,5067,1,0,0.0,0,-524,202,726,45,True,0,2,3,3,2020-21,,,,,,Max_Lowe
3,3,3,3.0,0,0,0,0,0.0,511,29,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,1,0,0,0,0,4,0,4869,1,2,0.0,0,-461,70,531,45,False,0,2,4,4,2020-21,,,,,,Max_Lowe
4,4,4,4.0,0,0,3,0,0.1,511,46,0,0,0.1,1.2,2020-10-18T11:00:00Z,18,8,0,0,0,0,5,0,4781,1,1,0.0,1,-343,91,434,45,True,0,2,2,5,2020-21,,,,,,Max_Lowe
5,5,5,5.0,0,0,0,0,0.0,511,54,0,0,0.0,0.0,2020-10-24T19:00:00Z,0,11,0,0,0,0,6,0,4376,1,2,0.0,0,-424,33,457,44,False,0,2,3,6,2020-21,,,,,,Max_Lowe
6,6,6,6.0,0,0,5,0,1.8,511,66,1,0,1.5,11.2,2020-10-31T12:30:00Z,80,12,0,0,0,0,7,0,4182,1,0,2.0,2,-241,58,299,44,True,0,2,4,7,2020-21,,,,,,Max_Lowe
7,7,7,7.0,0,0,2,0,1.4,511,71,4,0,2.3,14.2,2020-11-07T17:30:00Z,90,5,0,0,0,0,8,0,4268,1,4,7.0,0,-9,129,138,44,False,0,2,4,8,2020-21,,,,,,Max_Lowe
8,8,8,8.0,0,0,11,0,2.6,511,86,1,0,2.9,24.8,2020-11-22T14:00:00Z,90,19,0,0,0,0,9,0,4439,1,0,2.0,2,63,315,252,44,True,0,2,4,9,2020-21,,,,,,Max_Lowe
9,9,9,9.0,0,0,10,0,3.9,511,97,1,0,3.4,7.6,2020-11-28T20:00:00Z,90,18,0,0,0,0,10,0,4902,0,1,22.0,2,329,549,220,44,False,0,2,2,10,2020-21,,,,,,Max_Lowe
