Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,0.0,85,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,4061,0,2,0.0,0,0,0,0,55,True,0,2,4,,,,,
1,0,0,4,0,0.3,85,13,0,0,0.3,2.2,2021-08-21T14:00:00Z,20,7,0,0,0,0,2,0,4058,0,0,0.0,1,-771,117,888,55,False,0,2,2,,,,,
2,0,0,16,0,25.1,85,21,1,0,7.2,11.2,2021-08-28T14:00:00Z,65,2,0,0,0,0,3,0,3766,1,1,36.0,2,-503,112,615,54,False,0,2,2,,,,,
3,0,0,0,0,0.0,85,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,4,0,0,0,0,4,0,3695,1,0,0.0,0,-276,229,505,54,True,0,2,2,,,,,
4,0,0,0,0,0.0,85,50,0,0,0.0,0.0,2021-09-18T11:30:00Z,0,20,0,0,0,0,5,0,3479,2,0,0.0,0,-304,70,374,54,False,0,2,3,,,,,
5,0,0,0,0,0.0,85,52,0,0,0.0,0.0,2021-09-25T16:30:00Z,0,11,0,0,0,0,6,0,3335,3,3,0.0,0,-215,70,285,53,True,0,2,4,,,,,
6,0,0,0,0,0.0,85,69,0,0,0.0,0.0,2021-10-03T13:00:00Z,0,19,0,0,0,0,7,0,3239,2,1,0.0,0,-153,66,219,53,False,0,2,3,,,,,
7,0,0,-1,0,1.4,85,73,0,0,4.6,8.2,2021-10-16T16:30:00Z,18,6,0,0,0,0,8,0,3192,1,0,36.0,1,-114,59,173,53,True,0,2,4,,,,,
8,0,0,4,0,0.2,85,82,0,0,0.5,2.4,2021-10-24T13:00:00Z,14,9,0,0,0,0,9,0,3213,2,1,2.0,1,-24,74,98,53,True,0,2,2,,,,,
9,0,0,19,0,11.5,85,92,0,1,7.8,41.0,2021-10-30T14:00:00Z,32,5,0,0,0,0,10,0,3256,1,3,25.0,5,-18,166,184,53,False,1,2,2,,,,,
10,1,0,17,0,15.3,85,102,0,0,4.0,20.2,2021-11-06T15:00:00Z,45,15,0,0,0,0,11,0,3703,2,1,4.0,4,348,483,135,53,True,0,2,2,,,,,
11,0,0,0,0,1.2,85,116,2,0,0.9,6.2,2021-11-20T15:00:00Z,58,14,0,0,0,0,12,0,4189,3,3,2.0,0,364,609,245,53,False,1,2,3,,,,,
12,0,0,0,0,0.0,85,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,4056,0,1,0.0,0,-161,209,370,53,True,0,2,2,,,,,
13,0,0,0,0,0.0,85,140,0,0,0.0,0.0,2021-12-02T19:30:00Z,0,17,0,0,0,0,14,0,3985,0,2,0.0,0,-100,82,182,53,False,0,2,4,,,,,
14,0,0,0,0,0.0,85,143,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,10,0,0,0,0,15,0,3832,2,2,0.0,0,-169,36,205,53,False,0,2,2,,,,,
15,1,0,13,0,1.2,85,152,0,0,0.9,2.2,2021-12-10T20:00:00Z,21,18,0,0,0,0,16,0,3780,1,2,6.0,4,-91,92,183,53,True,0,2,2,,,,,
16,0,0,3,0,6.3,85,182,0,0,1.4,3.2,2021-12-26T20:00:00Z,24,4,0,0,0,0,19,0,3702,0,2,4.0,1,-40,48,88,53,False,0,2,2,,,,,
17,0,0,3,0,0.3,85,192,0,0,0.1,1.0,2021-12-29T20:15:00Z,8,12,0,0,0,0,20,0,3656,1,0,0.0,1,-18,26,44,53,True,0,2,5,,,,,
18,0,0,4,0,2.3,85,202,0,0,0.9,7.0,2022-01-02T14:00:00Z,36,2,0,0,0,0,21,0,3765,1,2,0.0,1,21,102,81,53,True,0,2,2,,,,,
19,0,0,0,0,0.0,85,176,0,0,0.0,0.0,2022-01-11T19:45:00Z,0,16,0,0,0,0,21,0,3765,1,4,0.0,0,21,102,81,53,False,0,2,3,,,,,
