assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,8,0,1.1,442,0.01,0.01,0.0,0.38,2,2,0,1.2,8.6,2023-08-12T12:00:00Z,70,1,0,0,0,0,1,0,10202,1,1,2,2.0,2,0,0,0,55,False,0
0,0,14,0,23.6,442,0.07,0.16,0.09,0.51,17,1,0,3.4,7.2,2023-08-18T18:45:00Z,90,17,0,0,0,0,2,0,13047,1,1,2,3.0,2,-100,1437,1537,55,True,0
0,0,5,0,0.8,442,0.0,0.03,0.03,2.79,28,3,0,1.1,2.8,2023-08-26T14:00:00Z,80,14,0,0,0,0,3,0,11710,1,2,3,7.0,2,-1902,298,2200,55,False,0
0,0,3,0,0.1,442,0.0,0.0,0.0,0.8,35,0,0,0.2,1.4,2023-09-02T14:00:00Z,45,7,0,0,0,0,4,0,10558,1,1,0,0.0,1,-1639,170,1809,54,False,0
0,0,0,0,0.0,442,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2023-09-18T18:45:00Z,0,6,0,0,0,0,5,0,8205,0,1,1,0.0,0,-2386,14,2400,54,True,0
0,0,0,0,0.0,442,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,13,0,0,0,0,6,0,7330,0,0,2,0.0,0,-929,39,968,53,False,0
0,0,0,0,0.0,442,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2023-10-01T13:00:00Z,0,4,0,0,0,0,7,0,6596,0,1,1,0.0,0,-740,23,763,53,True,0
0,0,0,0,0.0,442,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,8,0,0,0,0,8,0,6183,0,0,0,0.0,0,-435,15,450,53,False,0
0,0,0,0,0.0,442,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,12,0,0,0,0,9,0,5939,0,2,2,0.0,0,-258,18,276,53,True,0
0,0,0,0,0.0,442,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,11,0,0,0,0,10,0,5777,0,0,3,0.0,0,-174,16,190,53,False,0
0,0,-3,0,0.0,442,0.0,0.0,0.0,0.1,108,0,0,0.0,0.2,2023-11-05T14:00:00Z,8,2,0,0,0,0,11,0,5640,0,0,2,0.0,0,-137,18,155,53,True,1
0,0,3,0,2.5,442,0.01,0.01,0.0,1.1,119,2,0,1.2,9.4,2023-11-12T14:00:00Z,45,19,0,0,0,0,12,0,5664,0,2,3,0.0,1,-3,66,69,53,False,0
0,0,3,0,2.3,442,0.0,0.07,0.07,1.4,128,3,0,0.5,0.0,2023-11-25T15:00:00Z,62,5,0,0,0,0,13,0,5718,1,3,2,4.0,2,-15,83,98,53,True,0
0,0,0,0,0.0,442,0.0,0.0,0.0,0.0,139,0,0,0.0,0.0,2023-12-02T17:30:00Z,0,9,0,0,0,0,14,0,5905,0,1,0,0.0,0,139,224,85,53,True,0
0,0,3,0,0.6,442,0.0,0.0,0.0,0.5,145,2,0,0.2,1.6,2023-12-06T19:30:00Z,32,10,0,0,0,0,15,0,5791,0,0,5,0.0,1,-122,27,149,53,False,0
0,0,3,0,3.3,442,0.01,0.01,0.0,0.32,160,0,0,0.4,0.2,2023-12-09T15:00:00Z,27,20,0,0,0,0,16,0,5773,0,1,1,0.0,1,-43,36,79,53,False,0
0,0,2,0,1.6,442,0.01,0.05,0.04,0.2,169,0,0,0.9,0.0,2023-12-15T20:00:00Z,22,18,0,0,0,0,17,0,5825,0,2,0,8.0,1,-8,83,91,53,True,0
0,0,3,0,0.0,442,0.0,0.0,0.0,0.04,177,1,0,0.0,0.0,2023-12-23T15:00:00Z,1,3,0,0,0,0,18,0,5833,0,3,2,0.0,1,-36,43,79,53,True,0
0,0,9,0,1.0,442,0.01,0.01,0.0,2.29,189,1,0,1.2,11.2,2023-12-26T12:30:00Z,89,15,0,0,0,0,19,0,5884,1,3,1,0.0,2,15,67,52,53,False,0
0,0,14,0,2.2,442,0.02,0.05,0.03,0.45,197,1,0,1.4,10.0,2023-12-30T17:30:00Z,86,14,0,0,0,0,20,0,5907,1,1,2,2.0,2,-12,85,97,53,True,0
0,2,33,0,13.8,442,0.39,0.44,0.05,1.29,203,3,1,6.4,41.6,2024-01-20T17:30:00Z,90,4,0,0,0,0,21,0,6012,1,2,3,9.0,8,6,153,147,53,False,1
0,0,16,0,4.3,442,0.03,0.05,0.02,1.23,215,2,0,3.0,20.8,2024-01-30T19:30:00Z,90,1,0,0,0,0,22,0,7566,1,2,1,5.0,2,1329,1571,242,53,True,0
0,0,6,0,1.8,442,0.01,0.01,0.0,0.06,222,0,0,1.2,10.0,2024-02-04T14:00:00Z,18,3,0,0,0,0,23,0,8073,0,1,1,0.0,1,415,924,509,53,False,0
0,0,6,0,11.4,703,0.01,0.04,0.03,0.45,202,0,0,2.7,15.0,2023-01-21T15:00:00Z,45,3,0,0,0,0,21,0,223,0,1,1,1.0,1,194,210,16,45,False,0
0,0,3,0,1.4,703,0.0,0.0,0.0,0.58,218,0,0,0.8,6.6,2023-02-05T14:00:00Z,45,11,0,0,0,0,22,0,508,1,0,1,0.0,0,218,326,108,45,True,1
0,0,0,0,0.0,703,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,9,0,0,0,0,23,0,616,0,0,2,0.0,0,80,184,104,45,False,0
0,0,4,0,10.0,703,0.0,0.0,0.0,1.24,238,1,0,1.7,7.4,2023-02-18T15:00:00Z,57,13,0,0,0,0,24,0,624,1,1,1,0.0,1,-15,98,113,45,True,0
0,0,0,0,0.0,703,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,19,0,0,0,0,25,0,896,0,0,4,0.0,0,122,231,109,45,False,0
0,0,0,0,0.0,703,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05T14:00:00Z,0,8,0,0,0,0,26,0,735,0,2,2,0.0,0,-52,63,115,45,True,0
0,0,0,0,0.0,703,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,18,0,0,0,0,27,0,721,0,1,3,0.0,0,-51,62,113,45,False,0
0,0,0,0,0.0,703,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2023-03-17T20:00:00Z,0,15,0,0,0,0,28,0,759,0,2,1,0.0,0,3,65,62,45,True,0
1,0,16,0,11.3,703,0.08,0.28,0.2,0.47,289,1,0,4.7,19.6,2023-04-01T14:00:00Z,85,20,0,0,0,0,29,0,755,1,1,1,16.0,5,-24,54,78,45,True,0
0,0,3,0,0.8,703,0.02,0.02,0.0,1.45,65,2,0,0.4,3.0,2023-04-04T18:45:00Z,55,11,0,0,0,0,29,0,755,1,1,2,0.0,1,-24,54,78,45,False,0
0,0,9,0,3.6,703,0.01,0.05,0.04,1.01,291,1,0,1.8,6.4,2023-04-08T14:00:00Z,77,2,0,0,0,0,30,0,908,1,0,2,8.0,2,127,189,62,45,False,0
0,0,11,0,1.0,703,0.02,0.04,0.02,3.49,306,2,0,3.0,27.0,2023-04-16T15:30:00Z,90,14,0,0,0,0,31,0,1142,1,2,0,2.0,2,201,288,87,45,True,0
0,0,8,0,10.8,703,0.01,0.01,0.0,2.87,318,3,0,2.0,7.6,2023-04-22T14:00:00Z,90,12,0,0,0,0,32,0,1511,1,2,3,2.0,2,268,360,92,45,False,0
0,2,32,0,21.8,703,0.1,0.27,0.17,2.37,324,1,1,9.4,44.0,2023-04-26T18:30:00Z,90,5,0,0,0,0,33,0,1474,1,1,3,28.0,9,28,180,152,45,True,0
0,3,30,0,0.9,703,0.0,0.53,0.53,1.56,333,2,1,6.7,47.0,2023-04-29T14:00:00Z,90,4,0,0,0,0,34,0,2639,1,1,2,19.0,10,1060,1307,247,45,False,0
1,0,41,0,14.8,703,0.3,0.75,0.45,3.23,347,3,1,9.9,59.8,2023-05-08T19:00:00Z,90,17,0,0,0,0,35,0,3533,1,3,4,24.0,10,916,1599,683,45,True,0
0,0,5,0,0.2,703,0.0,0.14,0.14,1.07,354,2,0,0.7,0.0,2023-05-13T14:00:00Z,90,6,0,0,0,0,36,0,14673,1,2,2,11.0,2,10189,10914,725,45,False,0
0,0,10,1,20.1,703,0.01,0.01,0.0,0.53,367,0,0,3.3,10.4,2023-05-20T16:30:00Z,72,1,0,0,0,0,37,0,22907,1,0,1,2.0,3,7313,10635,3322,45,True,0
0,0,0,0,0.0,703,0.0,0.0,0.0,0.0,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,7,0,0,0,0,38,0,19926,0,1,1,0.0,0,-1944,2329,4273,45,False,0
