assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,12,0,0,0,0,12,0,2459,0,0,1,0.0,0,-52,29,81,43,True,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2023-11-26T16:30:00Z,0,9,0,0,0,0,13,0,2431,0,3,0,0.0,0,-37,41,78,43,False,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02T20:00:00Z,0,15,0,0,0,0,14,0,2415,0,0,1,0.0,0,-21,17,38,43,False,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,7,0,0,0,0,15,0,2403,0,1,2,0.0,0,-17,10,27,43,True,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,3,0,0,0,0,16,0,2395,0,3,0,0.0,0,-11,19,30,43,True,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,11,0,0,0,0,17,0,2372,0,0,0,0.0,0,-23,15,38,43,False,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,19,0,0,0,0,18,0,2369,0,0,2,0.0,0,-3,21,24,43,False,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,188,0,0,0.0,0.0,2023-12-26T20:00:00Z,0,2,0,0,0,0,19,0,2348,0,2,3,0.0,0,-23,10,33,43,True,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2023-12-30T17:30:00Z,0,16,0,0,0,0,20,0,2326,0,1,2,0.0,0,-24,9,33,43,False,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2024-01-14T16:30:00Z,0,18,0,0,0,0,21,0,2320,0,2,2,0.0,0,-12,28,40,43,True,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2024-02-01T20:15:00Z,0,20,0,0,0,0,22,0,2309,0,4,3,0.0,0,-14,23,37,43,False,0
0,0,0,0,0.0,389,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,19,0,0,0,0,23,0,2314,0,0,3,0.0,0,4,16,12,43,True,0
0,0,6,0,0.0,504,0.0,0.0,0.0,0.0,9,0,0,0.4,4.0,2022-08-07T13:00:00Z,1,5,0,0,0,0,1,0,192542,0,2,1,0.0,1,0,0,0,45,True,0
0,0,4,0,6.8,504,0.02,0.06,0.04,0.29,13,0,0,2.4,9.2,2022-08-13T16:30:00Z,45,4,0,0,0,0,2,0,185107,0,0,4,8.0,1,-23169,5832,29001,45,False,0
0,0,9,0,4.8,504,0.0,0.0,0.0,1.35,27,1,0,1.9,14.6,2022-08-22T19:00:00Z,90,12,0,0,0,0,3,0,159453,1,1,2,0.0,2,-30067,5897,35964,44,True,0
0,2,30,1,2.2,504,0.09,0.09,0.0,1.45,39,0,0,2.5,20.4,2022-08-27T11:30:00Z,90,17,0,0,0,0,4,0,226312,1,1,0,2.0,8,46308,62706,16398,44,False,0
0,0,16,1,2.6,504,0.02,0.02,0.0,0.73,46,0,0,1.3,6.0,2022-09-01T19:00:00Z,90,10,0,0,0,0,5,0,307242,1,1,0,4.0,5,63490,77116,13626,44,False,1
0,0,11,0,2.0,504,0.01,0.01,0.0,1.32,56,1,0,1.1,9.0,2022-09-04T15:30:00Z,90,1,0,0,0,0,6,0,370117,1,1,3,0.0,2,49903,72441,22538,44,True,0
0,0,2,0,0.8,504,0.01,0.01,0.0,2.46,88,4,0,0.2,0.8,2022-10-02T13:00:00Z,45,13,0,0,0,0,9,0,417490,1,3,6,0.0,-2,8942,41170,32228,45,False,1
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2022-10-09T18:00:00Z,0,8,0,0,0,0,10,0,401726,0,2,1,0.0,0,-18094,15061,33155,45,False,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,107,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,15,0,0,0,0,11,0,373223,0,0,0,0.0,0,-29462,4507,33969,45,True,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,119,0,0,0.0,0.0,2022-10-19T19:15:00Z,0,18,0,0,0,0,12,0,326421,0,0,2,0.0,0,-28923,2093,31016,44,True,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,122,0,0,0.0,0.0,2022-10-22T16:30:00Z,0,6,0,0,0,0,13,0,309224,0,1,1,0.0,0,-38342,1229,39571,44,False,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,139,0,0,0.0,0.0,2022-10-30T16:15:00Z,0,19,0,0,0,0,14,0,274934,0,0,1,0.0,0,-34880,1563,36443,43,True,0
0,0,2,0,1.8,504,0.01,0.01,0.0,0.0,141,0,0,0.4,2.2,2022-11-06T14:00:00Z,25,2,0,0,0,0,15,0,249972,0,1,3,0.0,1,-25167,1423,26590,43,False,0
0,0,12,0,2.3,504,0.01,0.01,0.0,1.37,153,1,0,1.1,8.4,2022-11-13T16:30:00Z,90,9,0,0,0,0,16,0,242601,1,2,1,0.0,2,-8563,4944,13507,42,False,0
0,0,19,1,5.7,504,0.1,0.23,0.13,0.72,169,0,0,5.3,18.0,2022-12-27T20:00:00Z,90,16,0,0,0,0,17,0,233665,1,0,3,29.0,5,-10186,39329,49515,42,True,1
0,3,29,1,17.0,504,0.12,0.12,0.0,0.67,180,0,0,4.1,22.2,2022-12-31T12:30:00Z,90,20,0,0,0,0,18,0,244173,1,1,0,2.0,9,9661,15212,5551,42,False,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-01-03T20:00:00Z,0,3,0,0,0,0,19,0,276925,0,0,3,0.0,0,31097,35232,4135,42,True,0
0,0,13,0,1.5,504,0.01,0.01,0.0,0.65,196,1,0,1.3,11.4,2023-01-14T12:30:00Z,90,13,0,0,0,0,20,0,261869,1,1,2,0.0,2,-13857,13482,27339,42,True,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-01-18T20:00:00Z,0,7,0,0,0,0,20,0,261869,0,1,1,0.0,0,-13857,13482,27339,42,False,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,201,0,0,0.0,0.0,2023-01-22T16:30:00Z,0,1,0,0,0,0,21,0,260104,0,2,3,0.0,0,-3214,9577,12791,42,False,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,216,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,7,0,0,0,0,22,0,237749,0,1,2,0.0,0,-22347,4538,26885,42,True,0
0,0,7,0,0.7,504,0.0,0.0,0.0,0.0,76,0,0,0.5,4.2,2023-02-08T20:00:00Z,8,11,0,0,0,0,22,0,237749,0,2,2,0.0,1,-22347,4538,26885,42,True,0
0,0,15,1,0.8,504,0.0,0.0,0.0,1.25,225,0,0,0.7,6.2,2023-02-12T14:00:00Z,60,11,0,0,0,0,23,0,225529,1,2,0,0.0,6,-12784,764,13548,42,False,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,236,0,0,0.0,0.0,2023-02-19T14:00:00Z,0,10,0,0,0,0,24,0,222170,0,0,3,0.0,0,-3917,2498,6415,42,True,0
0,0,4,0,0.1,504,0.0,0.0,0.0,0.53,256,2,0,0.3,2.8,2023-03-05T16:30:00Z,13,12,0,0,0,0,26,0,208079,0,0,7,0.0,0,-3431,1788,5219,42,False,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,267,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,17,0,0,0,0,27,0,204181,0,0,0,0.0,0,-4012,1467,5479,42,True,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,288,0,0,0.0,0.0,2023-04-02T15:30:00Z,0,15,0,0,0,0,29,0,196063,0,0,2,0.0,0,-3310,712,4022,42,False,0
0,0,16,0,22.6,504,0.04,0.04,0.0,0.63,247,0,0,3.9,12.2,2023-04-05T19:00:00Z,53,4,0,0,0,0,29,0,196063,0,0,1,4.0,1,-3310,712,4022,42,True,0
0,3,31,1,13.8,504,0.03,0.09,0.06,1.02,297,0,0,5.8,24.6,2023-04-08T11:30:00Z,90,8,0,0,0,0,30,0,207090,1,0,2,20.0,9,10527,13098,2571,42,True,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,306,0,0,0.0,0.0,2023-04-16T15:30:00Z,0,16,0,0,0,0,31,0,236107,0,2,0,0.0,0,28027,32329,4302,42,False,0
0,0,11,0,1.0,504,0.0,0.0,0.0,0.7,325,1,0,1.4,12.6,2023-04-27T19:15:00Z,19,18,0,0,0,0,33,0,218747,0,2,2,0.0,1,-4870,1569,6439,42,False,0
0,0,20,1,21.5,504,0.02,0.02,0.0,0.56,339,0,0,3.0,4.8,2023-04-30T13:00:00Z,90,2,0,0,0,0,34,0,212327,1,0,1,4.0,5,-6315,2575,8890,42,True,1
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,274,0,0,0.0,0.0,2023-05-04T19:00:00Z,0,5,0,0,0,0,34,0,212327,0,0,1,0.0,0,-6315,2575,8890,42,False,0
0,0,8,0,5.8,504,0.04,0.04,0.0,1.29,349,1,0,1.3,7.2,2023-05-07T18:00:00Z,87,19,0,0,0,0,35,0,212512,1,0,1,0.0,1,-279,3493,3772,42,False,1
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,20,0,0,0,0,36,0,212455,0,0,2,0.0,0,-186,2769,2955,42,True,0
0,0,0,0,0.0,504,0.0,0.0,0.0,0.0,361,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,3,0,0,0,0,37,0,207326,0,1,0,0.0,0,-4744,1867,6611,42,False,0
0,0,1,0,12.0,504,0.04,0.04,0.0,0.42,319,1,0,2.2,5.6,2023-05-25T19:00:00Z,45,6,0,0,0,0,37,0,207326,0,1,4,4.0,0,-4744,1867,6611,42,True,1
0,0,21,0,0.0,504,0.14,0.14,0.0,1.8,379,1,0,0.0,0.0,2023-05-28T15:30:00Z,90,9,0,0,0,0,38,0,214411,1,1,2,0.0,2,5421,8353,2932,42,True,0
