,Unnamed: 0,Unnamed: 0.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,12,0,0,0,0,5,0,734,0,0,1,0.0,0,389,446,57,45,True,0,2,2,5
1,1,1,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,8,0,0,0,0,6,0,983,0,0,0,0.0,0,47,254,207,45,False,0,2,2,6
2,2,2,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,7,0,0,0,0,7,0,1206,0,2,0,0.0,0,31,217,186,45,True,0,2,3,7
3,3,3,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,17,0,0,0,0,8,0,1803,0,1,3,0.0,0,272,492,220,45,True,0,2,2,8
4,4,4,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,18,0,0,0,0,9,0,1922,0,0,2,0.0,0,-96,176,272,45,False,0,2,3,9
5,5,5,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,94,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,5,0,0,0,0,10,0,2033,0,1,1,0.0,0,-15,149,164,45,False,0,2,3,10
6,6,6,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2023-11-04T12:30:00Z,0,14,0,0,0,0,11,0,2206,0,1,0,0.0,0,27,200,173,45,True,0,2,3,11
7,7,7,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,2,0,0,0,0,12,0,2296,0,1,3,0.0,0,-49,131,180,45,False,0,2,4,12
8,8,8,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,124,0,0,0.0,0.0,2023-11-27T20:00:00Z,0,20,0,0,0,0,13,0,2587,0,2,3,0.0,0,75,226,151,45,True,0,2,2,13
9,9,9,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,11,0,0,0,0,14,0,2666,0,3,4,0.0,0,-20,114,134,45,False,0,2,5,14
10,10,10,0,0,6,0,0.9,707,0.0,0.0,0.0,0.07,145,0,0,0.7,5.8,2023-12-06T19:30:00Z,15,16,0,0,0,0,15,0,2826,0,0,5,0.0,1,67,166,99,45,True,0,2,2,15
11,11,11,0,0,1,0,0.1,707,0.0,0.0,0.0,0.36,155,0,0,0.3,2.8,2023-12-10T14:00:00Z,18,19,0,0,0,0,16,0,3032,0,0,5,0.0,0,110,225,115,45,True,1,2,2,16
12,12,12,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,15,0,0,0,0,17,0,3465,0,0,3,0.0,0,244,445,201,45,False,0,2,4,17
13,13,13,0,0,2,0,0.2,707,0.0,0.0,0.0,0.06,173,0,0,0.4,1.4,2023-12-23T15:00:00Z,8,6,0,0,0,0,18,0,3978,0,2,0,2.0,1,290,544,254,45,True,0,2,2,18
14,14,14,0,0,3,0,0.3,707,0.0,0.0,0.0,0.06,182,1,0,0.2,1.2,2023-12-26T15:00:00Z,7,3,0,0,0,0,19,0,3952,0,0,3,0.0,1,-8,229,237,45,False,0,2,2,19
15,15,15,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-12-31T14:00:00Z,0,1,0,0,0,0,20,0,3918,0,1,2,0.0,0,-145,128,273,45,True,0,2,4,20
16,16,16,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,206,0,0,0.0,0.0,2024-01-13T12:30:00Z,0,7,0,0,0,0,21,0,3390,0,0,1,0.0,0,-534,66,600,45,False,0,2,3,21
17,17,17,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2024-01-30T19:45:00Z,0,9,0,0,0,0,22,0,3170,0,0,0,0.0,0,-233,36,269,45,True,0,2,2,22
18,18,18,0,0,0,0,0.0,707,0.0,0.0,0.0,0.0,225,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,6,0,0,0,0,23,0,3122,0,2,2,0.0,0,-57,12,69,45,False,0,2,2,23
